amount_loan,status,type_card,date_card,no. of inhabitants,no. of municipalities with inhabitants < 499,no. of municipalities with inhabitants 500-1999,no. of municipalities with inhabitants 2000-9999,no. of municipalities with inhabitants >10000,no. of cities,ratio of urban inhabitants,average salary,unemploymant rate '95,no. of enterpreneurs per 1000 inhabitants,frequency,date_account,sex,age,n_credits,n_withdrawals,total_transfer_amount,min_amount,max_amount,cov_transfers,mean_transfers,std_transfers,min_balance,max_balance,mean_balance,n_members,loan_year
59760,1,0,0.0,323870,0,0,0,1,1,100.0,10673,4.75,100,monthly issuance,1993/12/27,female,57,22,32,447938.39999999997,14.6,34557.0,40181326.233689725,8295.155555555553,9473.174770693331,300.0,69643.1,40204.4648148148,2,1994
48672,1,0,0.0,157042,49,70,18,0,9,33.9,8743,1.88,111,monthly issuance,1993/09/17,male,73,34,63,153016.9,14.6,12100.0,122813.06431056684,1577.4938144329901,2134.8633422215444,300.0,33484.4,23050.189690721647,2,1994
140400,1,0,0.0,323870,0,0,0,1,1,100.0,10673,4.75,100,monthly issuance,1993/10/10,male,80,22,23,494617.7,14.6,63200.0,172337496.92604548,10991.504444444443,15888.232250644956,400.0,115000.2,43563.61999999999,1,1994
192552,-1,0,0.0,70646,94,14,3,1,4,58.4,8547,2.65,120,weekly issuance,1993/08/29,female,58,26,25,294495.4,10.2,23844.0,22335868.966364704,5774.419607843138,6781.366772355544,800.0,49563.0,23979.01176470588,1,1994
164052,-1,0,0.0,51313,34,12,3,1,4,59.2,8930,3.52,108,issuance after transaction,1993/11/17,female,46,28,37,767602.1000000001,0.4,48181.0,168833923.34933895,11809.263076923078,13989.46840529253,-2564.7,112045.6,41752.16153846152,1,1994
205200,1,0,0.0,1204953,0,0,0,1,1,100.0,12541,0.29,167,weekly issuance,1993/06/11,female,58,36,93,1192502.0999999999,30.0,51303.0,68114580.47309773,9244.202325581395,12021.944876821002,900.0,93928.5,58336.31162790698,1,1994
51408,1,0,0.0,45714,52,10,5,1,6,55.6,8843,2.82,113,monthly issuance,1993/11/16,male,72,31,33,858292.5,14.6,57700.0,237605412.04235366,13410.820312499998,15418.785505877157,900.0,137087.2,52299.285937499975,1,1994
199680,1,0,0.0,139012,59,41,8,3,10,61.9,8363,2.52,108,monthly issuance,1993/10/25,male,72,28,46,544161.0,14.6,29954.0,45058380.56814883,7353.527027027026,8335.628568689344,500.0,62238.8,33658.61756756758,1,1994
482940,-1,0,0.0,1204953,0,0,0,1,1,100.0,12541,0.29,167,monthly issuance,1993/08/29,female,45,56,74,527888.5,7.8,21056.0,17854694.465244483,4060.6807692307675,5196.212009001896,900.0,57707.2,26358.7546153846,1,1994
36684,1,0,0.0,285387,0,2,8,5,7,89.9,10177,6.63,81,monthly issuance,1993/03/29,female,43,50,75,596080.3999999999,8.3,24480.0,15432602.24663677,4768.643199999998,5139.132681207422,700.0,50774.2,30229.797600000005,1,1994
398640,1,0,0.0,323870,0,0,0,1,1,100.0,10673,4.75,100,weekly issuance,1993/07/26,female,61,34,52,1423554.7999999998,30.0,59793.0,224761829.11508074,16552.96279069768,18029.512959615746,400.0,121689.5,63383.57558139535,1,1994
100980,1,0,0.0,387570,0,0,0,1,1,100.0,9897,1.6,140,monthly issuance,1993/12/01,male,56,27,43,368273.39999999997,14.6,22900.0,18702994.06680331,5261.0485714285705,6252.813291787502,600.0,53376.7,35614.74428571429,1,1994
31248,1,0,0.0,1204953,0,0,0,1,1,100.0,12541,0.29,167,monthly issuance,1993/05/30,female,82,51,69,1661455.0,14.6,64100.0,186772646.70088935,13845.45833333334,15374.68479811129,1000.0,144715.3,64493.09916666662,1,1994
115992,1,0,0.0,51313,34,12,3,1,4,59.2,8930,3.52,108,weekly issuance,1993/04/17,male,84,46,81,789225.5,5.4,60600.0,87484550.11193162,6214.3740157480315,9741.388357890277,200.0,107692.0,25666.40708661417,1,1994
76380,1,0,0.0,1204953,0,0,0,1,1,100.0,12541,0.29,167,monthly issuance,1994/05/01,female,64,20,25,160721.6,14.6,12861.0,8137768.8922626255,3571.5911111111113,3690.905941747674,1100.0,41703.3,26122.848888888897,1,1995
288468,1,0,0.0,86513,38,36,5,1,5,50.5,8288,3.79,110,monthly issuance,1994/08/29,female,63,14,3,142840.5,6.4,30950.0,92283385.30481619,8402.382352941177,10797.212071076225,600.0,71939.2,36999.52352941177,1,1995
177744,-1,0,0.0,108871,41,29,7,2,6,62.1,8444,3.24,106,monthly issuance,1993/08/10,male,49,36,59,639054.4,3.3,45056.0,61287511.65774245,6726.888421052629,8644.836154260727,-2485.5,89733.5,26746.5252631579,1,1995
270648,-1,0,0.0,1204953,0,0,0,1,1,100.0,12541,0.29,167,weekly issuance,1994/03/07,male,84,36,36,933016.6000000001,30.0,52700.0,187510895.93195224,12958.563888888888,15907.696653385816,200.0,134501.4,60819.976388888885,1,1995
48624,1,0,0.0,128118,9,16,6,3,8,85.3,9317,6.49,97,monthly issuance,1993/08/05,male,60,49,68,1425152.2000000002,14.6,52900.0,141608386.66785732,12180.788034188035,13769.747927206989,200.0,134187.4,63857.2367521368,1,1995
76416,1,0,0.0,1204953,0,0,0,1,1,100.0,12541,0.29,167,monthly issuance,1993/03/13,female,87,57,96,998682.6000000001,14.6,28659.0,16214503.881075848,6527.337254901959,7187.344549036414,8686.4,64494.1,31375.160784313728,2,1995
137880,-1,0,0.0,226122,32,50,7,4,4,62.6,8994,3.8,110,weekly issuance,1993/09/15,male,58,38,51,536138.9,30.0,20848.0,19534619.17691139,6024.032584269662,6081.063234369748,200.0,52658.4,24523.07303370786,1,1995
347952,1,0,0.0,45714,52,10,5,1,6,55.6,8843,2.82,113,monthly issuance,1993/03/30,female,57,50,70,1612971.4000000001,14.6,54600.0,137747871.39462045,13441.428333333335,14008.318072651287,300.0,123013.2,54157.19416666667,1,1995
68112,1,0,0.0,88768,10,18,5,1,7,80.5,8867,1.02,130,monthly issuance,1993/08/04,female,44,37,110,1455075.9,14.6,57164.0,86761207.66700307,9898.475510204082,13854.433323810714,300.0,111588.8,47220.13401360543,1,1995
95808,1,0,0.0,161854,73,21,6,1,6,76.3,9425,1.72,125,monthly issuance,1993/11/27,male,81,40,50,1445282.5,14.6,57700.0,172116183.95307112,16058.694444444449,15060.067136870523,900.0,122452.2,59701.78666666667,1,1995
20832,1,0,0.0,85852,41,23,4,2,4,59.8,8965,7.08,104,monthly issuance,1993/08/01,male,73,47,104,377359.3,14.6,19700.0,4697984.6622512145,2499.068211920529,3466.849228571881,500.0,41997.9,21368.909933774863,1,1995
316140,-1,0,0.0,1204953,0,0,0,1,1,100.0,12541,0.29,167,monthly issuance,1993/03/24,male,53,60,79,538217.5,14.6,13352.0,6404859.167672296,3872.0683453237402,3593.3390633313725,800.0,39616.2,18632.933812949643,1,1995
43164,1,0,0.0,117897,139,28,5,1,6,53.8,8814,4.76,107,monthly issuance,1994/02/08,female,45,26,43,978989.7,14.6,57680.0,101900583.17546034,14188.256521739127,16353.863389852693,800.0,120071.4,68377.06376811591,1,1995
221280,1,0,0.0,323870,0,0,0,1,1,100.0,10673,4.75,100,weekly issuance,1994/01/15,female,57,25,46,844296.6,30.0,50178.0,172054961.4073823,11891.501408450704,13440.954839173895,1100.0,106144.8,37596.93239436623,2,1995
151728,-1,0,0.0,323870,0,0,0,1,1,100.0,10673,4.75,100,monthly issuance,1994/05/16,male,45,28,29,472510.9,0.8,48906.0,103523111.90493734,8289.664912280701,11105.905784914152,-669.7,82784.6,30491.098245614015,1,1995
79920,1,0,0.0,170449,0,0,0,1,1,100.0,10787,2.64,131,monthly issuance,1993/11/26,male,68,29,66,732203.6000000001,14.6,36634.5,54540413.05588579,7707.4063157894725,10115.937494914817,700.0,74199.5,43846.97789473684,1,1995
538500,1,0,0.0,95616,65,30,4,1,6,51.4,9307,3.85,118,monthly issuance,1994/03/18,male,61,22,36,492996.2,14.6,32082.0,79034199.02759224,8499.93448275862,9031.132406245684,200.0,69775.9,33687.85862068966,1,1995
97224,1,0,0.0,74062,99,15,4,2,7,61.4,8114,2.38,119,monthly issuance,1993/09/10,male,71,42,70,441080.0,14.6,16257.0,17943751.90307593,3938.214285714286,4066.959866601935,1000.0,43393.0,22360.53660714285,2,1995
28248,1,0,0.0,162580,83,26,5,1,6,72.8,9538,1.51,111,monthly issuance,1993/08/24,female,51,38,56,762498.0000000001,14.6,30055.5,49295597.971269734,8111.6808510638275,9581.889557824124,400.0,69893.0,45582.44893617021,1,1995
168984,-1,0,0.0,1204953,0,0,0,1,1,100.0,12541,0.29,167,monthly issuance,1993/08/10,male,45,74,86,1817181.9000000001,2.5,55200.0,112727249.37701102,11357.386875000004,14217.840422538504,-517.7,120806.4,56053.99750000008,1,1995
76680,1,0,0.0,228848,15,40,18,2,6,57.2,9893,4.09,96,monthly issuance,1993/09/12,female,67,53,90,1412483.1,14.6,57554.0,65073346.71412048,9877.504195804198,13960.813713874399,1000.0,104676.1,62933.4748251748,2,1995
331560,1,0,0.0,88884,80,26,6,2,5,46.7,8507,1.67,132,monthly issuance,1993/08/21,female,39,40,79,871260.7999999999,14.6,33276.0,50531891.95986327,7321.519327731091,8600.083043472501,900.0,71924.6,36941.99831932773,2,1995
103680,-1,0,0.0,95907,87,25,5,2,7,59.1,8388,2.41,87,monthly issuance,1993/07/20,male,50,44,65,424705.69999999995,14.6,14422.5,11424164.302753992,3896.3825688073384,4349.59797077598,500.0,46520.1,28250.10917431192,1,1995
99696,-1,0,0.0,114200,101,41,4,1,4,43.7,8403,5.74,105,monthly issuance,1993/06/08,female,50,45,63,1265412.2000000002,0.4,55900.0,132207878.94874524,11716.779629629631,14212.581731327866,-974.6,127684.9,46341.29351851856,1,1995
134784,1,0,0.0,285387,0,2,8,5,7,89.9,10177,6.63,81,monthly issuance,1994/06/04,female,81,30,25,513129.8999999999,12.2,58800.0,157738235.13955215,9329.634545454544,13721.584769303869,900.0,112839.2,44005.11272727274,1,1995
15420,1,0,0.0,1204953,0,0,0,1,1,100.0,12541,0.29,167,monthly issuance,1993/05/23,female,56,53,98,474469.8,14.6,13881.0,1897034.070933333,3142.1841059602634,3552.6526836171815,1000.0,41137.4,24577.200000000033,1,1995
31728,1,0,0.0,1204953,0,0,0,1,1,100.0,12541,0.29,167,monthly issuance,1993/09/05,female,71,41,76,605251.7,14.6,22267.5,12758789.01437813,5173.091452991451,5966.7127870113645,600.0,56122.8,31139.747863247834,2,1995
185952,1,0,0.0,125236,28,11,1,4,5,87.7,9675,6.43,100,monthly issuance,1994/03/19,male,76,20,14,417635.1,68.7,57400.0,281865330.2550624,12283.385294117646,15880.145513895786,700.0,145318.2,50113.19411764706,1,1995
156672,1,0,0.0,72541,66,26,10,0,8,36.9,8594,1.62,112,monthly issuance,1994/02/25,female,65,37,38,248502.30000000002,11.2,10380.0,1162173.103610811,3313.364,2959.280852497234,500.0,41876.9,22927.502666666693,1,1995
18564,1,0,0.0,1204953,0,0,0,1,1,100.0,12541,0.29,167,monthly issuance,1994/11/25,female,58,9,4,111665.7,24.0,25603.5,52941544.70987181,8589.66923076923,8988.622298623282,200.0,56498.4,35538.04615384616,1,1995
158976,1,0,0.0,139012,59,41,8,3,10,61.9,8363,2.52,108,monthly issuance,1993/11/03,male,82,52,104,1337462.4000000001,14.6,48358.0,119044424.57043673,8573.476923076925,11047.203080510686,600.0,130293.2,49916.091025641086,1,1995
47304,1,0,0.0,197099,29,41,10,2,10,74.7,9624,1.6,145,monthly issuance,1993/11/10,male,50,76,91,2315930.4000000004,14.6,59900.0,136408917.49824002,13867.846706586832,15898.237073611943,400.0,148093.0,68740.02335329348,1,1995
104712,1,0,0.0,323870,0,0,0,1,1,100.0,10673,4.75,100,monthly issuance,1993/05/20,male,77,72,119,2288239.7,14.6,56400.0,208232420.58845106,11980.312565445032,14364.412594887313,400.0,147603.2,57357.84345549748,1,1995
126600,1,0,0.0,162580,83,26,5,1,6,72.8,9538,1.51,111,monthly issuance,1993/05/20,male,82,46,86,1542286.4000000001,14.6,47472.0,129860348.76411517,11683.987878787882,13027.081046792453,400.0,94043.3,47118.99318181818,1,1995
68400,-1,0,0.0,228848,15,40,18,2,6,57.2,9893,4.09,96,monthly issuance,1994/10/30,female,45,9,5,101546.2,66.2,31037.0,47754403.66538461,7253.299999999998,9306.82957940028,800.0,51242.2,31793.735714285714,1,1995
225420,1,0,0.0,117897,139,28,5,1,6,53.8,8814,4.76,107,monthly issuance,1994/06/17,female,73,22,29,278069.5,14.6,20727.0,27806683.78029804,5452.343137254903,5689.8715150082235,200.0,53271.6,31185.156862745098,1,1995
248148,1,0,0.0,72541,66,26,10,0,8,36.9,8594,1.62,112,monthly issuance,1993/12/11,female,81,37,83,654403.8,14.6,28960.0,22626755.20992437,5453.364999999996,7163.262659678045,600.0,67486.0,36063.78833333336,1,1995
187224,-1,0,0.0,1204953,0,0,0,1,1,100.0,12541,0.29,167,monthly issuance,1993/12/13,male,74,38,50,953455.0,0.2,51900.0,69479464.21085161,10834.715909090908,13396.172197189588,-243.3,92571.3,42084.311363636334,1,1995
36396,1,0,0.0,127369,31,32,13,2,7,51.2,8369,4.73,107,weekly issuance,1993/07/06,male,49,56,102,1853472.7,30.0,51700.0,158286509.7686669,11730.83987341772,14169.09453544535,800.0,125887.5,57977.03481012657,1,1995
189060,1,0,0.0,149893,63,29,6,2,6,67.4,9753,4.64,109,issuance after transaction,1994/11/02,female,63,14,16,535003.5,100.0,60016.0,51010149.014655136,17833.45,18365.54032581503,200.0,101793.6,72242.8966666667,1,1995
71064,1,0,0.0,85852,41,23,4,2,4,59.8,8965,7.08,104,monthly issuance,1994/04/21,female,75,29,57,421094.5,14.6,22908.0,23042460.40353488,4896.447674418605,5908.168598409308,700.0,55373.3,34577.30232558138,1,1995
87216,1,0,0.0,1204953,0,0,0,1,1,100.0,12541,0.29,167,monthly issuance,1993/09/21,female,67,41,107,438183.30000000005,14.6,15608.0,8077094.853842159,2960.6979729729724,3810.4163669409736,700.0,43787.3,30847.149324324353,1,1995
158760,1,0,0.0,78955,50,24,8,1,9,59.0,9060,1.78,124,monthly issuance,1993/07/27,male,43,55,111,772578.8,14.6,23810.0,12061717.876791531,4654.089156626504,5919.120014592914,900.0,59898.4,24908.761445783133,1,1995
417060,1,0,0.0,45714,52,10,5,1,6,55.6,8843,2.82,113,monthly issuance,1993/11/20,male,63,41,33,783215.5000000001,14.6,52700.0,125381888.5845687,10583.993243243243,13221.566345908825,200.0,127508.6,58445.027027027056,2,1995
63360,1,0,0.0,75685,31,28,5,1,9,60.8,8208,1.89,155,monthly issuance,1993/09/06,female,59,49,70,378630.6,14.6,12138.0,4935826.067202677,3181.7697478991595,3298.4851046378444,700.0,40733.8,29108.363865546195,2,1995
29784,1,0,0.0,170449,0,0,0,1,1,100.0,10787,2.64,131,monthly issuance,1995/02/08,male,48,9,3,83320.20000000001,59.4,17241.0,41948379.85,6943.350000000001,5953.52364043956,200.0,49220.3,27626.08333333333,2,1995
139536,1,0,0.0,117897,139,28,5,1,6,53.8,8814,4.76,107,monthly issuance,1993/11/14,female,80,67,98,2384961.4000000004,12.2,53200.0,175727638.11920434,14454.311515151518,14738.935054260472,800.0,151546.9,63889.87393939401,1,1995
265320,1,0,0.0,121947,37,28,7,3,11,70.5,8541,2.51,131,monthly issuance,1993/09/18,male,71,64,84,789187.5,14.6,26409.0,33728351.53628791,5332.347972972972,6730.371534826184,700.0,61993.3,35566.88108108107,2,1995
198240,1,0,0.0,118650,8,8,5,1,3,85.6,9832,3.32,114,monthly issuance,1995/01/15,male,65,11,5,120750.2,43.0,19455.0,42452784.65191666,7546.887500000001,6388.8658227549795,300.0,51947.2,30953.143750000003,1,1995
60000,1,0,0.0,77917,85,19,6,1,5,53.5,8390,2.28,132,monthly issuance,1993/09/13,male,75,48,89,351794.69999999995,14.6,11049.0,6869997.336823205,2567.8445255474444,2858.4325897483127,400.0,39393.9,24643.283941605838,1,1995
465072,1,0,0.0,125832,151,41,2,3,5,48.3,8512,3.51,102,monthly issuance,1994/01/14,female,80,38,65,883692.1,14.6,42880.0,82337683.86309539,8579.53495145631,9881.895983472918,300.0,79557.6,27778.745631067963,2,1995
98592,1,0,0.0,92084,55,29,4,3,5,46.7,10124,0.56,141,issuance after transaction,1995/01/08,female,58,13,13,280991.9,68.7,36975.0,5492165.93850769,10807.380769230771,11368.516776326425,900.0,78713.7,54128.56538461536,1,1995
285600,1,0,0.0,95616,65,30,4,1,6,51.4,9307,3.85,118,weekly issuance,1994/11/15,male,40,24,25,510174.3,30.0,42729.0,136027794.37642008,10411.720408163264,11677.223002280616,1100.0,126077.1,49651.8918367347,2,1995
44088,1,0,0.0,81344,61,23,4,2,6,55.3,8899,3.39,149,monthly issuance,1994/12/08,female,70,17,15,211774.09999999998,14.6,24304.5,33605818.67340726,6617.940625,7524.390572551136,1000.0,55576.8,36548.818750000006,1,1995
20220,1,0,0.0,81344,61,23,4,2,6,55.3,8899,3.39,149,monthly issuance,1994/08/27,female,48,23,28,495508.6,14.6,49397.0,162912604.7494235,9715.854901960784,12645.751956310287,500.0,122906.7,41077.63529411765,1,1995
107640,1,0,0.0,88884,80,26,6,2,5,46.7,8507,1.67,132,monthly issuance,1995/02/13,female,62,12,11,402236.69999999995,14.6,53613.0,268923888.1774901,17488.552173913045,17646.241139194735,600.0,107783.7,50214.50434782608,1,1995
21396,1,0,0.0,58796,22,16,7,1,5,51.9,9045,3.13,124,monthly issuance,1994/06/04,female,46,34,44,362266.1,14.6,16048.0,6954802.702157842,4644.4371794871795,4837.268653191096,1000.0,46848.9,30812.946153846162,2,1995
33984,1,0,0.0,197099,29,41,10,2,10,74.7,9624,1.6,145,monthly issuance,1994/08/24,male,49,36,34,321870.10000000003,14.6,20196.0,18458986.283391304,4598.144285714286,6177.986560891913,600.0,55077.5,38587.76000000001,1,1995
45336,1,0,0.0,51428,50,11,3,1,4,52.7,8402,3.13,120,monthly issuance,1994/04/27,male,64,33,57,683480.9,14.6,30436.0,42045379.77972284,7594.23222222222,8452.877659938884,800.0,71486.0,48152.953333333375,1,1995
85860,1,0,0.0,88884,80,26,6,2,5,46.7,8507,1.67,132,monthly issuance,1994/06/29,female,66,47,49,324233.0,5.0,16713.0,5945418.092517542,3377.427083333332,4267.503685059406,1000.0,44713.5,30461.404166666678,1,1995
188688,1,0,0.0,197099,29,41,10,2,10,74.7,9624,1.6,145,monthly issuance,1995/04/02,female,56,12,10,239223.0,14.6,35378.0,94042145.20874457,10873.772727272726,11652.687583606004,400.0,71255.7,42203.17272727273,1,1995
309552,1,0,0.0,226122,32,50,7,4,4,62.6,8994,3.8,110,monthly issuance,1995/01/18,male,86,16,19,610015.1,14.6,58041.0,279496159.6679411,17429.002857142856,17249.72561255746,700.0,121713.2,56105.49999999996,1,1995
36168,1,0,0.0,1204953,0,0,0,1,1,100.0,12541,0.29,167,monthly issuance,1995/03/04,male,60,15,21,249538.4,14.6,27122.0,33479912.889047608,6931.622222222222,7543.7218236514345,300.0,63738.0,39063.76666666667,1,1995
314520,1,0,0.0,105606,77,26,7,2,7,53.0,8254,2.79,97,weekly issuance,1994/06/05,female,66,56,74,1971887.1,30.0,56700.0,156418024.25153488,15168.362307692307,15591.936909191116,500.0,128119.4,63527.42000000002,1,1995
21852,1,0,0.0,125236,28,11,1,4,5,87.7,9675,6.43,100,monthly issuance,1995/04/22,male,67,12,6,166180.5,14.6,27736.5,64035866.63382352,9232.249999999998,9622.094337956234,700.0,60863.2,38509.05,1,1995
266220,1,0,0.0,70646,94,14,3,1,4,58.4,8547,2.65,120,monthly issuance,1994/05/10,female,56,53,91,803704.5,14.6,33190.0,47146765.34440122,5581.281249999997,8132.153065850963,900.0,66744.4,34922.881249999984,1,1995
231696,1,0,0.0,1204953,0,0,0,1,1,100.0,12541,0.29,167,weekly issuance,1994/07/01,female,47,34,92,1346104.9,30.0,60566.0,160749029.92366666,10683.372222222222,14357.999950024452,800.0,108575.3,45873.61666666672,2,1995
260028,1,0,0.0,75637,35,36,9,0,7,36.5,9622,0.45,154,monthly issuance,1993/12/08,male,45,47,114,2014811.4999999998,14.6,65008.0,145692505.70223215,12514.357142857149,15539.996466279024,200.0,124900.7,50676.81987577646,1,1995
419880,1,0,0.0,1204953,0,0,0,1,1,100.0,12541,0.29,167,weekly issuance,1995/05/26,male,78,11,7,439676.5,39.0,64800.0,293386737.88745093,24426.472222222223,22749.02056507839,200.0,104039.9,59352.83333333334,2,1995
37908,1,0,0.0,145688,22,41,13,2,5,40.7,8544,1.29,109,monthly issuance,1994/07/28,female,45,31,45,568897.7,14.1,28431.0,46254323.380110525,7485.496052631577,8156.462519882677,800.0,69530.4,42164.027631578945,1,1995
73836,1,0,0.0,119895,17,4,3,2,4,89.9,10446,7.34,90,monthly issuance,1995/04/26,female,54,14,5,317453.10000000003,19.1,44281.0,309940291.02415204,16708.05789473684,15919.661477707225,900.0,129607.8,55315.16842105263,1,1995
41952,1,0,0.0,161854,73,21,6,1,6,76.3,9425,1.72,125,monthly issuance,1994/09/03,male,49,31,74,618492.8,14.6,31462.0,20253969.144513737,5890.407619047617,8048.949212542915,500.0,71527.0,41502.025714285715,1,1995
99336,1,0,0.0,228848,15,40,18,2,6,57.2,9893,4.09,96,monthly issuance,1994/12/09,female,41,24,28,226115.40000000002,14.6,16866.0,17546369.71528658,4348.373076923077,4545.705626197681,300.0,46568.0,27019.571153846144,1,1995
60156,-1,0,0.0,93931,74,21,10,1,8,56.9,8427,1.12,107,monthly issuance,1995/03/27,male,45,26,30,894447.7000000001,14.6,53600.0,222124618.46362337,15972.280357142854,16629.248188050748,400.0,159712.8,72667.63571428569,1,1995
182040,1,0,0.0,51428,50,11,3,1,4,52.7,8402,3.13,120,monthly issuance,1994/11/21,male,72,24,35,1034848.0,14.6,61557.0,200880194.6372472,17539.79661016949,19380.077104673546,600.0,110447.5,67475.90169491527,2,1995
244368,1,0,0.0,114200,101,41,4,1,4,43.7,8403,5.74,105,issuance after transaction,1994/07/22,male,51,64,80,2571714.3,100.0,57200.0,179392801.8363651,17859.127083333333,16593.038369456037,200.0,143453.3,75924.2409722223,1,1995
113796,1,0,0.0,387570,0,0,0,1,1,100.0,9897,1.6,140,issuance after transaction,1994/12/01,female,44,25,47,464634.1,100.0,28446.0,29501634.218417447,6453.251388888889,7747.196574663441,500.0,58022.1,36840.57361111111,2,1995
73056,1,0,0.0,119895,17,4,3,2,4,89.9,10446,7.34,90,monthly issuance,1995/02/06,female,44,23,28,124711.7,14.6,8538.0,-110554.07877254878,2445.3274509803928,2463.7691430877553,500.0,33555.4,23255.149019607838,2,1995
137904,-1,0,0.0,75637,35,36,9,0,7,36.5,9622,0.45,154,monthly issuance,1995/07/22,male,53,9,3,76359.8,29.4,11878.0,25864009.92924242,6363.316666666666,5156.205670986676,600.0,43259.7,26886.19166666667,1,1995
31176,1,0,0.0,1204953,0,0,0,1,1,100.0,12541,0.29,167,monthly issuance,1995/06/08,male,53,12,11,207628.30000000002,14.6,29418.0,10455003.396778667,9027.317391304348,9218.883576938062,700.0,65769.6,46304.15217391303,1,1995
217152,1,classic,951122.0,226122,32,50,7,4,4,62.6,8994,3.8,110,monthly issuance,1995/01/29,male,47,21,36,722006.6,4.4,54286.0,175418634.1710119,12666.78245614035,14230.107373843504,400.0,109774.3,49107.06666666669,1,1995
194880,1,0,0.0,323870,0,0,0,1,1,100.0,10673,4.75,100,monthly issuance,1994/06/01,male,42,37,76,925237.8,14.6,36536.0,66781212.662134945,8187.945132743361,9593.676518248058,300.0,71138.8,36421.42566371683,1,1995
27984,1,0,0.0,139012,59,41,8,3,10,61.9,8363,2.52,108,weekly issuance,1994/07/10,male,72,30,46,554008.4,30.0,47513.0,85843076.30741051,7289.584210526317,10118.511874184564,500.0,82352.4,30639.863157894713,1,1995
92976,1,0,0.0,51313,34,12,3,1,4,59.2,8930,3.52,108,weekly issuance,1994/05/22,male,44,50,59,1312301.9,30.0,48996.0,117492292.35553516,12039.466972477063,12340.685993283556,300.0,122342.1,50436.466055045865,2,1995
104712,1,0,0.0,51313,34,12,3,1,4,59.2,8930,3.52,108,weekly issuance,1994/05/22,male,44,50,58,1298123.3,30.0,48996.0,123277409.13227502,12019.660185185186,12231.304609128867,300.0,119752.3,52379.12870370369,2,1995
191880,1,0,0.0,103347,87,16,7,1,7,67.0,9104,1.51,123,monthly issuance,1995/03/15,male,72,35,52,1053896.7000000002,14.6,59200.0,167753269.59518847,12113.75517241379,14349.01798377788,400.0,128539.4,53685.78620689651,1,1995
232560,1,0,0.0,323870,0,0,0,1,1,100.0,10673,4.75,100,issuance after transaction,1995/07/05,female,51,14,13,352801.6,100.0,39741.0,37187237.83833335,13066.725925925924,13775.513372915688,600.0,102665.9,63188.63333333334,1,1995
204000,1,0,0.0,77917,85,19,6,1,5,53.5,8390,2.28,132,monthly issuance,1994/12/17,male,77,25,40,500629.19999999995,14.6,30604.0,56180643.06044953,7701.987692307691,8253.16283771159,400.0,68172.8,37809.39846153843,1,1995
125340,1,0,0.0,1204953,0,0,0,1,1,100.0,12541,0.29,167,weekly issuance,1994/09/05,male,77,57,70,1230207.4,30.0,49974.0,109859328.94559614,9686.67244094488,12382.23956408249,500.0,110933.4,51145.51574803151,1,1995
309600,1,0,0.0,226122,32,50,7,4,4,62.6,8994,3.8,110,weekly issuance,1995/01/17,male,46,22,34,898554.0,30.0,58052.0,209541628.95644155,16045.607142857141,16733.061607551976,400.0,112363.1,58185.589285714275,1,1995
189696,1,0,0.0,51428,50,11,3,1,4,52.7,8402,3.13,120,weekly issuance,1995/04/09,female,77,30,59,1030886.2000000001,30.0,57600.0,147620873.93391472,11582.991011235956,15277.749243557084,700.0,125386.9,54137.10561797752,2,1996
135360,1,junior,951024.0,102609,75,33,2,3,6,52.0,8187,4.83,94,monthly issuance,1995/01/03,male,46,32,45,1151811.8,14.6,48633.0,210337543.2384962,14958.594805194805,15929.17611027256,200.0,146479.5,64881.31428571429,1,1996
98832,1,0,0.0,95907,87,25,5,2,7,59.1,8388,2.41,87,monthly issuance,1994/02/06,female,51,50,127,775630.7,14.6,23282.0,11373423.031581601,4382.094350282484,5958.474141436919,500.0,63095.4,31814.268361581904,1,1996
20352,1,0,0.0,109164,98,16,6,1,4,63.6,8757,3.38,96,monthly issuance,1995/04/03,male,69,22,26,173267.59999999998,14.6,12549.0,3882915.591719857,3609.741666666668,3792.804992088861,400.0,44427.9,31814.41458333332,2,1996
165120,1,0,0.0,121947,37,28,7,3,11,70.5,8541,2.51,131,monthly issuance,1994/05/21,male,68,50,66,373203.39999999997,14.6,11210.0,5074791.079071964,3217.2706896551717,3041.2806947936815,1100.0,37946.3,24377.371551724114,2,1996
89880,1,0,0.0,285387,0,2,8,5,7,89.9,10177,6.63,81,weekly issuance,1995/08/18,male,58,13,16,391999.5,26.2,47100.0,85377823.13685958,13517.224137931033,16039.789608783509,800.0,116004.2,62571.28275862068,1,1996
