amount_loan,status,type_card,date_card,no. of inhabitants,no. of municipalities with inhabitants < 499,no. of municipalities with inhabitants 500-1999,no. of municipalities with inhabitants 2000-9999,no. of municipalities with inhabitants >10000,no. of cities,ratio of urban inhabitants,average salary,unemploymant rate '95,no. of enterpreneurs per 1000 inhabitants,frequency,date_account,sex,age,n_credits,n_withdrawals,total_credit,mean_credit,std_credit,min_credit,min_balance,max_balance,mean_balance,n_members,loan_year
96396,-1,0,0.0,94812,15,13,8,2,10,81.8,9650,3.38,100,weekly issuance,1993/03/22,female,74,4,0,20100.0,5025.0,3774.8068383251966,1100.0,1100.0,20100.0,12250.0,1,1993
165960,1,0,0.0,112709,48,20,7,3,10,73.5,8369,1.79,117,monthly issuance,1993/02/13,male,53,17,20,229893.69999999998,13523.158823529411,13998.092225373912,2.9,700.0,120512.8,52083.85945945945,1,1993
127080,1,0,0.0,77917,85,19,6,1,5,53.5,8390,2.28,132,monthly issuance,1993/02/08,male,85,15,9,75146.0,5009.733333333334,6801.234716228965,48.6,800.0,49590.4,30060.95416666668,1,1993
105804,1,0,0.0,177686,69,27,10,1,9,74.8,10045,1.42,135,monthly issuance,1993/01/30,female,81,13,12,120309.80000000002,9254.600000000002,9818.59121827906,132.8,1000.0,65898.5,41297.479999999996,1,1993
274740,1,0,0.0,86513,38,36,5,1,5,50.5,8288,3.79,110,weekly issuance,1993/02/14,male,43,13,14,276327.1,21255.930769230767,24264.229779532965,77.1,600.0,122893.1,57188.21111111113,1,1993
87840,1,0,0.0,53921,61,22,1,1,2,41.3,8598,2.77,123,monthly issuance,1993/05/12,male,36,14,3,102647.8,7331.9857142857145,11713.859081897366,51.3,500.0,65847.8,46318.55294117648,2,1993
52788,1,0,0.0,58796,22,16,7,1,5,51.9,9045,3.13,124,monthly issuance,1993/01/14,male,48,21,22,90384.8,4304.038095238095,3880.5602012436543,43.9,1000.0,41469.1,22198.179069767448,1,1993
174744,-1,0,0.0,122603,25,21,6,2,8,80.0,8991,1.39,128,monthly issuance,1993/04/14,female,73,16,16,213997.59999999998,13374.849999999999,16348.357234046483,77.8,1000.0,105628.0,37485.456249999996,1,1993
154416,1,0,0.0,70699,60,13,2,1,4,65.3,8968,2.83,131,weekly issuance,1993/04/20,female,52,16,16,182543.8,11408.9875,13212.035232815822,13.6,8897.0,81723.5,46715.8,1,1993
117024,1,0,0.0,177686,69,27,10,1,9,74.8,10045,1.42,135,monthly issuance,1993/06/20,male,86,9,4,118393.5,13154.833333333336,15275.43339589748,45.1,800.0,76985.2,44131.16923076923,1,1993
21924,1,0,0.0,157042,49,70,18,0,9,33.9,8743,1.88,111,monthly issuance,1993/01/17,female,62,21,24,158586.5,7551.738095238096,7695.526818254628,38.3,1100.0,60432.4,34272.21333333335,2,1993
79608,1,0,0.0,105606,77,26,7,2,7,53.0,8254,2.79,97,monthly issuance,1993/01/13,male,51,22,31,518282.4,23558.290909090912,24223.19832425322,110.2,800.0,125825.7,69954.57169811318,1,1993
464520,-1,0,0.0,148545,8,35,12,3,4,53.5,8909,4.01,113,weekly issuance,1993/03/19,female,81,31,37,497102.3,16035.55806451613,15297.898328632687,42.4,200.0,125943.1,51760.01617647063,1,1993
95400,1,0,0.0,95616,65,30,4,1,6,51.4,9307,3.85,118,weekly issuance,1993/03/15,male,50,22,25,257545.0,11706.590909090908,13022.733787675894,23.6,200.0,92354.8,41562.32340425532,1,1993
93888,1,0,0.0,86513,38,36,5,1,5,50.5,8288,3.79,110,issuance after transaction,1993/07/05,female,71,12,7,85016.4,7084.7,7697.681274844452,48.0,600.0,52378.2,37510.49473684211,1,1993
47016,1,0,0.0,112709,48,20,7,3,10,73.5,8369,1.79,117,issuance after transaction,1993/04/14,female,64,22,20,286683.4,13031.063636363637,14937.019272760052,32.8,200.0,112901.6,60382.085714285706,1,1993
259740,1,0,0.0,228848,15,40,18,2,6,57.2,9893,4.09,96,monthly issuance,1993/07/11,male,42,10,7,144433.5,14443.35,15387.514924354167,75.3,800.0,79633.5,45198.15294117648,1,1993
38148,1,0,0.0,1204953,0,0,0,1,1,100.0,12541,0.29,167,monthly issuance,1993/06/28,female,56,18,11,145221.5,8067.861111111111,11579.10396843936,9.9,900.0,62324.6,37462.093103448286,1,1993
86616,1,0,0.0,75637,35,36,9,0,7,36.5,9622,0.45,154,monthly issuance,1993/08/18,male,60,12,3,58553.2,4879.433333333333,6561.633923779729,29.8,800.0,48353.1,25714.046666666665,1,1993
75624,-1,0,0.0,387570,0,0,0,1,1,100.0,9897,1.6,140,monthly issuance,1993/06/10,male,63,15,8,175155.0,11677.0,19366.42021305361,50.5,400.0,89754.8,50009.90869565218,1,1993
80952,1,0,0.0,1204953,0,0,0,1,1,100.0,12541,0.29,167,monthly issuance,1993/02/26,female,81,22,32,228685.3,10394.786363636362,11457.26961321087,13.5,1100.0,67529.6,32590.62407407406,2,1994
80952,1,0,0.0,1204953,0,0,0,1,1,100.0,12541,0.29,167,monthly issuance,1993/02/26,female,81,22,32,228693.9,10395.177272727273,11456.902704563734,13.5,1100.0,67529.6,33312.53888888891,2,1994
24516,1,0,0.0,1204953,0,0,0,1,1,100.0,12541,0.29,167,monthly issuance,1993/02/27,male,63,31,42,630685.0,20344.677419354834,19408.834213706392,12.5,200.0,125254.2,55582.22602739725,1,1994
253200,1,0,0.0,139012,59,41,8,3,10,61.9,8363,2.52,108,weekly issuance,1993/05/10,female,71,21,20,284778.7,13560.890476190476,16298.788997987082,69.5,800.0,104417.9,47302.546341463436,1,1994
21072,1,0,0.0,74062,99,15,4,2,7,61.4,8114,2.38,119,monthly issuance,1993/09/08,female,57,13,2,39167.1,3012.853846153846,3766.1760094768506,48.5,1100.0,33467.0,21575.68666666666,1,1994
108144,1,0,0.0,108871,41,29,7,2,6,62.1,8444,3.24,106,monthly issuance,1993/05/20,male,64,23,32,386925.00000000006,16822.826086956524,17851.048345741932,35.7,900.0,123863.4,54652.89818181817,2,1994
78936,1,0,0.0,51313,34,12,3,1,4,59.2,8930,3.52,108,monthly issuance,1993/05/09,female,64,24,27,95405.0,3975.208333333334,4054.8399573753254,24.0,900.0,40560.3,25900.319607843132,1,1994
149040,1,0,0.0,75637,35,36,9,0,7,36.5,9622,0.45,154,monthly issuance,1993/04/21,female,53,20,34,189931.60000000003,9496.58,10743.711547426978,31.1,200.0,62441.6,36845.58888888889,1,1994
49320,-1,0,0.0,122603,25,21,6,2,8,80.0,8991,1.39,128,issuance after transaction,1993/09/03,female,76,17,32,266271.60000000003,15663.03529411765,16806.344967933284,166.4,900.0,126833.0,46576.27755102041,1,1994
197748,1,0,0.0,53921,61,22,1,1,2,41.3,8598,2.77,123,monthly issuance,1993/09/13,male,53,11,5,135994.6,12363.145454545454,14026.726463531228,68.3,300.0,74413.6,44735.43125,2,1994
300660,1,0,0.0,128118,9,16,6,3,8,85.3,9317,6.49,97,monthly issuance,1993/04/29,male,71,24,42,358263.0,14927.625,17113.836067809858,39.4,800.0,135175.2,45854.89090909087,1,1994
182628,1,0,0.0,138032,67,30,4,2,5,64.6,8819,5.38,99,monthly issuance,1993/10/10,male,62,10,3,76660.9,7666.089999999999,8850.231824641029,67.1,500.0,52246.0,33229.1076923077,1,1994
91632,1,0,0.0,139012,59,41,8,3,10,61.9,8363,2.52,108,monthly issuance,1993/03/08,male,60,27,43,237174.59999999998,8784.244444444443,9670.996869002514,54.1,700.0,64577.8,40976.942857142836,2,1994
51696,1,classic,931107.0,323870,0,0,0,1,1,100.0,10673,4.75,100,monthly issuance,1993/02/08,female,53,44,58,728065.9000000001,16546.952272727274,16358.967978771148,119.6,600.0,124339.4,58226.50490196077,1,1994
55368,1,0,0.0,197099,29,41,10,2,10,74.7,9624,1.6,145,monthly issuance,1993/03/18,female,82,47,51,432628.6,9204.863829787235,11645.00150656972,27.2,200.0,113350.7,46061.31938775505,1,1994
91200,1,0,0.0,119895,17,4,3,2,4,89.9,10446,7.34,90,monthly issuance,1993/07/28,male,63,18,18,196349.0,10908.277777777777,12526.278594433363,16.0,700.0,76736.9,32558.533333333333,2,1994
7656,1,0,0.0,78955,50,24,8,1,9,59.0,9060,1.78,124,monthly issuance,1993/03/28,male,62,36,45,278859.20000000007,7746.088888888888,11093.951461064016,9.2,600.0,73069.1,46444.63950617286,2,1994
212400,1,0,0.0,85852,41,23,4,2,4,59.8,8965,7.08,104,weekly issuance,1993/03/05,female,55,31,40,433316.2,13977.941935483874,16886.433997872853,71.5,300.0,133215.2,51034.36197183098,1,1994
167100,1,0,0.0,145688,22,41,13,2,5,40.7,8544,1.29,109,monthly issuance,1993/05/06,male,48,33,46,585785.2000000001,17751.066666666666,16643.693764581425,91.4,1100.0,143605.7,63707.62658227849,2,1994
149340,1,0,0.0,105606,77,26,7,2,7,53.0,8254,2.79,97,weekly issuance,1993/05/21,male,58,23,33,173575.3,7546.752173913043,8313.872751167697,32.2,500.0,53214.0,29069.11607142853,1,1994
65184,1,0,0.0,75232,55,26,4,1,5,41.7,8980,1.95,111,monthly issuance,1993/01/25,male,64,30,52,524877.5,17495.916666666668,18012.952086438618,21.6,900.0,102410.3,47426.549999999974,1,1994
215388,-1,0,0.0,119895,17,4,3,2,4,89.9,10446,7.34,90,monthly issuance,1993/11/27,male,62,10,5,61162.9,6116.29,15624.45252818301,18.0,1000.0,50757.0,32702.726666666666,1,1994
89040,1,0,0.0,148545,8,35,12,3,4,53.5,8909,4.01,113,monthly issuance,1993/04/12,male,45,44,43,164345.40000000002,3735.122727272728,5249.801706503875,25.2,800.0,46550.2,30045.399999999998,2,1994
193968,1,0,0.0,226122,32,50,7,4,4,62.6,8994,3.8,110,issuance after transaction,1993/10/25,male,49,20,9,286180.0,14309.0,16108.456022749111,52.4,800.0,120567.3,63579.21724137932,1,1994
24312,1,0,0.0,93931,74,21,10,1,8,56.9,8427,1.12,107,monthly issuance,1993/02/10,female,66,37,41,207260.4,5601.632432432431,6334.084003058991,35.5,1100.0,48277.9,29380.83974358974,1,1994
272520,1,0,0.0,92084,55,29,4,3,5,46.7,10124,0.56,141,monthly issuance,1993/06/18,female,80,34,50,467695.6,13755.75294117647,14316.953745424598,13.3,1100.0,121891.4,44602.641666666634,2,1994
80340,1,0,0.0,1204953,0,0,0,1,1,100.0,12541,0.29,167,monthly issuance,1993/07/05,male,43,22,30,446745.7,20306.622727272726,21670.904746422253,147.8,1100.0,122523.5,61531.59038461539,2,1994
97632,1,0,0.0,103347,87,16,7,1,7,67.0,9104,1.51,123,monthly issuance,1993/07/24,female,53,20,45,515264.2,25763.21,26690.6547850682,46.7,1100.0,119900.1,53379.127692307724,1,1994
196080,1,0,0.0,87419,21,11,4,3,9,85.5,8624,1.79,102,monthly issuance,1993/10/03,male,63,20,27,289532.4,14476.62,16844.13100927067,123.9,900.0,97457.4,49143.96595744681,1,1994
76908,-1,0,0.0,149893,63,29,6,2,6,67.4,9753,4.64,109,monthly issuance,1993/01/26,female,75,42,60,666797.7,15876.135714285716,16557.120906975513,17.0,1100.0,126002.8,52890.40392156865,1,1994
63312,1,0,0.0,51313,34,12,3,1,4,59.2,8930,3.52,108,monthly issuance,1993/04/19,female,65,35,47,96737.2,2763.92,2529.3431112817098,26.5,500.0,31462.9,22551.77926829271,1,1994
25944,1,0,0.0,118650,8,8,5,1,3,85.6,9832,3.32,114,monthly issuance,1993/09/08,female,61,19,18,232737.4,12249.336842105264,13227.663899411318,65.4,600.0,80155.2,56927.45405405403,1,1994
104808,1,0,0.0,125832,151,41,2,3,5,48.3,8512,3.51,102,monthly issuance,1993/11/26,female,76,12,18,113646.0,9470.5,9987.247362511855,19.5,500.0,57865.3,38709.829999999994,2,1994
208320,1,0,0.0,51313,34,12,3,1,4,59.2,8930,3.52,108,weekly issuance,1993/02/07,male,61,33,52,423055.2,12819.854545454547,14197.909587596225,79.0,200.0,82981.9,43944.88941176475,2,1994
151560,1,0,0.0,125832,151,41,2,3,5,48.3,8512,3.51,102,monthly issuance,1993/11/21,male,68,13,15,247759.29999999996,19058.40769230769,21769.48998566042,59.9,300.0,97912.7,53976.29285714283,1,1994
52128,1,0,0.0,75637,35,36,9,0,7,36.5,9622,0.45,154,monthly issuance,1993/09/13,female,62,39,32,243548.7,6244.838461538461,12442.414305926479,38.7,144.2,59944.2,33459.68028169013,1,1994
300204,1,0,0.0,161954,21,37,20,3,8,48.0,8720,3.73,116,monthly issuance,1993/06/05,male,57,27,44,250489.6,9277.392592592592,10500.672949677884,83.6,300.0,57676.7,34084.4605633803,1,1994
77640,1,0,0.0,67298,71,19,10,0,7,43.8,8561,0.65,110,weekly issuance,1993/07/07,male,54,22,38,413086.9,18776.677272727276,20932.090929910235,138.1,700.0,117489.5,55570.30499999995,1,1994
87216,-1,0,0.0,58796,22,16,7,1,5,51.9,9045,3.13,124,monthly issuance,1993/11/26,male,57,21,12,77528.30000000002,3691.82380952381,5452.599528931568,16.7,200.0,41410.0,28362.24848484848,1,1994
87360,1,0,0.0,85852,41,23,4,2,4,59.8,8965,7.08,104,monthly issuance,1993/07/21,male,59,16,14,136713.2,8544.574999999999,15833.24865467181,63.3,200.0,69174.6,36783.95,1,1994
69360,1,0,0.0,112709,48,20,7,3,10,73.5,8369,1.79,117,monthly issuance,1993/03/19,male,80,31,47,204511.1,6597.132258064516,6641.690982091187,34.2,1100.0,52365.0,33857.10641025642,1,1994
288360,1,0,0.0,1204953,0,0,0,1,1,100.0,12541,0.29,167,issuance after transaction,1994/02/27,male,86,8,2,64650.399999999994,8081.299999999999,11968.690657831254,8.7,800.0,58495.8,33211.759999999995,1,1994
174744,-1,0,0.0,95616,65,30,4,1,6,51.4,9307,3.85,118,monthly issuance,1993/03/22,female,43,38,80,438627.5,11542.82894736842,13739.947130841827,33.3,-1369.2,96659.4,26252.81440677967,1,1994
239460,1,0,0.0,228848,15,40,18,2,6,57.2,9893,4.09,96,monthly issuance,1993/09/22,female,79,18,28,240982.9,13387.93888888889,14074.988489145388,30.4,300.0,74408.8,40061.58043478263,1,1994
91584,1,0,0.0,133777,24,17,7,3,11,84.7,8705,5.75,116,monthly issuance,1993/11/26,female,70,14,17,257465.2,18390.37142857143,19525.382423613417,29.4,1000.0,83039.4,50765.41612903225,1,1994
244560,1,0,0.0,109164,98,16,6,1,4,63.6,8757,3.38,96,monthly issuance,1993/10/14,female,54,18,24,224210.90000000002,12456.16111111111,14326.749994621905,65.4,1000.0,72512.5,38426.728571428575,1,1994
4980,1,0,0.0,86513,38,36,5,1,5,50.5,8288,3.79,110,monthly issuance,1993/11/05,female,69,19,27,101697.79999999999,5352.515789473684,5855.277787533337,35.6,800.0,41106.2,30533.37173913044,1,1994
111384,1,0,0.0,75637,35,36,9,0,7,36.5,9622,0.45,154,monthly issuance,1993/03/20,male,54,55,97,1054061.2000000002,19164.749090909096,16819.19548966545,29.0,500.0,141386.0,65097.22434210526,1,1994
276660,-1,0,0.0,124605,11,42,14,1,8,46.0,8772,4.69,126,monthly issuance,1993/08/28,male,72,30,28,111371.0,3712.3666666666663,3346.6496014241825,9.5,500.0,32720.4,19256.89482758621,1,1994
39576,1,0,0.0,105058,32,19,7,2,10,81.0,9272,2.8,118,monthly issuance,1993/02/04,female,41,53,62,487779.39999999997,9203.384905660376,15028.59244328311,21.3,300.0,103467.2,48944.827826086956,1,1994
173808,1,0,0.0,148545,8,35,12,3,4,53.5,8909,4.01,113,issuance after transaction,1993/06/23,male,71,26,49,699587.9,26907.22692307692,27882.02200700025,43.3,1000.0,134416.6,61218.658666666684,2,1994
50460,1,0,0.0,75637,35,36,9,0,7,36.5,9622,0.45,154,monthly issuance,1993/10/20,female,74,19,24,158214.4,8327.073684210525,8763.374599170123,32.6,800.0,51971.4,37570.627906976755,1,1994
252060,-1,0,0.0,110643,49,41,4,1,4,51.9,8441,3.45,115,monthly issuance,1993/11/29,female,56,26,35,389614.5,14985.173076923076,12929.512964023283,8.2,900.0,106259.6,57340.50819672131,1,1994
143904,1,0,0.0,102609,75,33,2,3,6,52.0,8187,4.83,94,monthly issuance,1993/02/20,male,70,47,92,658169.2999999999,14003.602127659575,16026.467471715405,6.7,700.0,134571.2,49727.45611510793,1,1994
208128,-1,0,0.0,387570,0,0,0,1,1,100.0,9897,1.6,140,monthly issuance,1993/05/11,male,70,29,35,342886.4,11823.668965517241,15657.199379475416,30.9,-1069.7,96064.0,36369.97499999999,1,1994
131292,1,0,0.0,1204953,0,0,0,1,1,100.0,12541,0.29,167,weekly issuance,1993/05/29,male,67,29,54,344177.4,11868.186206896553,12564.756401729523,12.1,1000.0,70288.4,36635.11566265061,1,1994
74736,1,0,0.0,77917,85,19,6,1,5,53.5,8390,2.28,132,monthly issuance,1993/06/26,male,56,26,41,291052.7,11194.334615384618,11537.56596177694,16.5,700.0,62084.0,37912.998507462675,1,1994
299088,-1,0,0.0,106054,38,25,6,2,6,63.1,8110,5.77,109,monthly issuance,1993/06/06,female,55,46,80,812759.2999999999,17668.680434782607,16697.64522902848,46.2,500.0,193909.9,51992.854761904746,1,1994
189300,1,0,0.0,109164,98,16,6,1,4,63.6,8757,3.38,96,monthly issuance,1993/06/16,male,68,42,60,273115.4,6502.74761904762,9621.692061810712,43.8,800.0,61043.3,32354.031372549012,1,1994
14628,1,0,0.0,157042,49,70,18,0,9,33.9,8743,1.88,111,monthly issuance,1993/07/01,female,72,29,73,226196.19999999998,7799.868965517242,8444.546604681942,49.4,200.0,52184.7,32788.14215686272,1,1994
120888,1,0,0.0,1204953,0,0,0,1,1,100.0,12541,0.29,167,weekly issuance,1993/03/27,female,77,36,60,472459.6,13123.877777777778,16118.726154278906,85.0,600.0,116468.4,40838.75520833332,1,1994
172080,1,0,0.0,92084,55,29,4,3,5,46.7,10124,0.56,141,monthly issuance,1994/01/21,female,64,25,17,267848.9,10713.956,13937.004333610099,19.3,200.0,119138.8,60743.95714285715,1,1994
323472,1,0,0.0,1204953,0,0,0,1,1,100.0,12541,0.29,167,monthly issuance,1993/06/21,female,81,28,29,388617.3,13879.189285714285,15498.399910058559,52.9,200.0,119934.1,45414.07368421048,1,1994
74688,1,0,0.0,87419,21,11,4,3,9,85.5,8624,1.79,102,monthly issuance,1993/04/02,male,71,49,63,661350.3999999999,13496.946938775513,19696.852104768568,96.1,1100.0,104902.4,48484.62410714285,2,1994
45768,1,0,0.0,226122,32,50,7,4,4,62.6,8994,3.8,110,weekly issuance,1993/11/22,female,44,22,5,103427.6,4701.254545454545,8986.486653739352,24.2,800.0,78327.5,32555.81851851852,1,1994
224604,1,0,0.0,51313,34,12,3,1,4,59.2,8930,3.52,108,monthly issuance,1993/03/24,female,42,34,59,696151.5,20475.04411764706,21195.726924536226,32.7,200.0,109178.4,57496.98924731188,2,1994
79632,1,0,0.0,125832,151,41,2,3,5,48.3,8512,3.51,102,monthly issuance,1994/04/08,female,62,10,6,244462.5,24446.25,26215.867427412482,112.5,900.0,119373.5,63494.200000000004,1,1994
121896,1,0,0.0,157042,49,70,18,0,9,33.9,8743,1.88,111,monthly issuance,1993/04/28,male,56,39,54,636169.6,16312.041025641029,17543.162379170888,17.7,600.0,133454.9,54422.59677419359,1,1994
82896,1,0,0.0,75685,31,28,5,1,9,60.8,8208,1.89,155,monthly issuance,1993/05/08,female,46,34,92,702299.6000000001,20655.87058823529,23236.607640029655,130.5,900.0,107680.9,57141.73095238091,2,1994
23628,1,0,0.0,85852,41,23,4,2,4,59.8,8965,7.08,104,monthly issuance,1993/03/12,male,67,49,61,577410.2,11783.88163265306,13077.30899914163,1.7,1000.0,140228.7,47420.84181818185,1,1994
209184,1,0,0.0,1204953,0,0,0,1,1,100.0,12541,0.29,167,monthly issuance,1993/08/16,male,68,26,42,513026.6,19731.79230769231,20444.230690948938,70.1,1000.0,110583.8,46230.339705882405,1,1994
41904,1,0,0.0,285387,0,2,8,5,7,89.9,10177,6.63,81,monthly issuance,1993/01/24,male,47,63,80,500146.7999999999,7938.838095238093,14136.504224940167,0.8,900.0,129123.0,36080.386713286716,1,1994
87816,1,0,0.0,1204953,0,0,0,1,1,100.0,12541,0.29,167,monthly issuance,1993/06/07,female,55,41,43,198466.6,4840.648780487804,4805.410159659733,54.5,800.0,43442.2,25533.2142857143,2,1994
23052,1,0,0.0,387570,0,0,0,1,1,100.0,9897,1.6,140,monthly issuance,1993/01/19,male,75,48,123,323632.8,6742.349999999999,7256.612121720878,34.7,700.0,54321.8,23771.96608187134,2,1994
189696,-1,0,0.0,110643,49,41,4,1,4,51.9,8441,3.45,115,monthly issuance,1994/05/17,female,51,5,0,22500.0,4500.0,4623.310502226733,600.0,600.0,22500.0,14900.0,1,1994
230220,-1,0,0.0,323870,0,0,0,1,1,100.0,10673,4.75,100,monthly issuance,1993/10/08,female,79,38,44,297905.80000000005,7839.626315789475,12904.573288246353,4.9,-2719.7,130801.0,27658.487804878067,1,1994
71460,1,0,0.0,157042,49,70,18,0,9,33.9,8743,1.88,111,monthly issuance,1993/11/08,female,78,20,23,262679.5,13133.975,15213.679504102638,35.9,200.0,82549.0,47991.530232558136,2,1994
141240,1,0,0.0,102609,75,33,2,3,6,52.0,8187,4.83,94,monthly issuance,1993/09/07,male,59,27,75,499448.50000000006,18498.09259259259,19701.042392471092,105.9,1000.0,107784.1,57219.574509803846,1,1994
11736,1,0,0.0,1204953,0,0,0,1,1,100.0,12541,0.29,167,monthly issuance,1993/04/22,male,83,36,97,414676.4,11518.78888888889,12346.087518881153,34.8,1100.0,70826.8,42224.43909774438,1,1994
192744,1,0,0.0,110643,49,41,4,1,4,51.9,8441,3.45,115,monthly issuance,1993/06/02,male,42,33,43,304978.1,9241.760606060605,13233.520638112032,8.8,700.0,121508.1,37265.65526315789,2,1994
227880,1,0,0.0,197099,29,41,10,2,10,74.7,9624,1.6,145,monthly issuance,1993/09/25,male,68,45,38,365365.30000000005,8119.22888888889,13054.996538118376,24.3,1100.0,153213.7,45134.72168674696,2,1994
17508,1,0,0.0,107870,84,29,6,1,6,58.0,8754,3.83,137,monthly issuance,1993/08/01,male,75,31,41,198353.1,6398.487096774194,6315.624697934583,36.7,900.0,54432.3,39290.618055555555,1,1994
98184,1,0,0.0,114200,101,41,4,1,4,43.7,8403,5.74,105,monthly issuance,1994/07/09,female,76,11,3,99656.20000000001,9059.654545454545,12277.680329635858,74.1,500.0,68956.1,41660.392857142855,1,1994
170256,1,0,0.0,93931,74,21,10,1,8,56.9,8427,1.12,107,monthly issuance,1993/08/08,female,56,31,46,371594.29999999993,11986.912903225808,13358.159520127065,83.9,200.0,79869.8,40091.18311688309,1,1994
83016,1,0,0.0,161954,21,37,20,3,8,48.0,8720,3.73,116,monthly issuance,1993/02/08,male,42,67,129,1348329.3,20124.317910447757,17276.40982723153,90.2,700.0,136436.6,67891.93520408162,1,1994
61056,1,0,0.0,161954,21,37,20,3,8,48.0,8720,3.73,116,monthly issuance,1993/11/21,female,64,23,41,197445.49999999997,8584.586956521738,9219.612965959843,37.1,900.0,55816.0,36039.05156249998,1,1994
123696,1,0,0.0,124605,11,42,14,1,8,46.0,8772,4.69,126,monthly issuance,1993/12/02,male,81,22,39,285666.8,12984.854545454546,17308.55071355051,59.5,300.0,89822.2,49084.381967213114,1,1994
59760,1,0,0.0,323870,0,0,0,1,1,100.0,10673,4.75,100,monthly issuance,1993/12/27,female,57,22,32,244535.8,11115.263636363636,12447.686398782073,19.5,300.0,69643.1,40204.4648148148,2,1994
